Site Code	Lat./Long. (degrees, decimal min.)
BH19	41° 57.951'N  72° 54.053'W
BB17	41° 26.708'N  72° 59.889'W
BE74	41° 23.627'N  73° 24.207'W
BF38	41° 18.064'N  72° 49.896'W
BP39	41° 12.666'N  73° 10.795'W
BP40	41° 9.305'N  73° 12.635'W
BP105	41° 11.317'N 73° 12.468'W
CA30	41° 57.889'N  073° 21.135'W
CB93	41° 38.625'N  71° 57.853'W
CS96	41° 28.549'N  72° 55.338'W
CH23	41° 23.325'N  72° 29.604'W
CC94	41° 32.037'N  72° 23.017'W
CL95	41° 39.878'N  72° 19.107'W
CO29	41° 48.607'N  73° 17.655'W
CR25	41° 35.388'N  72° 39.711'W
DB76	41° 21.933'N  73° 25.930'W
D41	41° 2.951'N  73° 29.472'W
D42	41° 5.045'N  73° 29.284'W
ED97	41° 29.741'N  72° 23.133'W
EH43	41° 15.843'N  72° 52.671'W
EL98	41° 22.659'N   72° 12.251'W
E44	41° 16.819'N  73° 18.185'W
FF31	41° 11.680'N  73° 19.638'W
FF45	41° 7.576'N  73° 15.748'W
FM18	41° 43.313'N  72° 51.472'W
FR13	41° 36.340'N  72° 08.083'W
GL77	41° 40.036'N  72° 36.704'W
GR46	41° 2.247'N  73° 33.685'W
GR47	41° 6.385'N  73° 39.125'W
GR48	41° 4.935'N  73° 35.668'W
GS99	41° 36.882'N  71° 57.891'W
G37	41° 23.792'N  72° 5.211'W 
GU49	41° 18.067'N  72° 43.725'W
HD24	41° 27.266'N  72° 34.574'W
H50	41° 21.658'N  72° 57.947'W
HP97	41° 49.807'N  72° 3.528'W
HA78	41° 47.497'N  72° 41.340'W
HB107	41° 37.274'N  72° 20.701'W
KL100	41°51.787'N  71°48.444'W
K27	41° 20.206'N  72° 34.347'W
LD8	41° 28.913'N  71° 58.850'W
LM28	41° 43.089'N  73° 11.821'W
LY21	41° 24.902'N  72° 17.705'W
LY101	41° 22.173'N  72°17.639'W
M26	41° 21.577'N  72° 39.096'W
MC80	41° 45.966'N  72° 30.073'W
MS102	41° 46.730'N  72° 14.492'W
ME81	41° 32.979'N 72° 46.540'W
MI82	41° 29.508'N  72° 41.729'W
MF51	41° 14.400'N  73° 4.106'W
MF83	41° 13.134'N  73° 4.720'W
MO52	41° 21.057'N  73° 14.398'W
MV103	41° 26.177'N  72° 13.522'W
NEB84	41° 42.655'N  72° 46.055'W
NC32	41° 08.060'N  73° 27.762'W
NC53	41° 11.239'N  73° 30.862'W
NH54	41° 19.830'N  72° 56.397'W
NG85	41° 40.552'N  72° 43.392'W
N36	41° 22.760'N  73° 20.050'W
NB55	41° 19.129'N  72° 46.725'W
NV56	41° 23.980'N  72° 51.961'W
NS3	41° 24.595'N  71° 50.653'W
NS5	41° 26.169'N  71° 49.839'W
NS6	41° 26.369'N  71° 47.881'W
NS7	41° 29.149'N  71° 52.735'W
NO57	41° 09.565'N  73° 24.001'W
NO58	41° 03.891'N  73° 26.372'W
OL22	41° 17.757'N  72° 19.677'W
OR59	41° 16.547'N  73° 01.766'W
P10	41° 41.584'N  71° 55.662'W
RE35	41° 18.583'N  73° 19.307'W
RI34	41° 16.827'N  73° 28.814'W
SA105	41° 28.504'N   72° 15.815'W
SH60	41° 18.179'N  73° 7.782'W
SS106	42° 0.204'N  72° 27.550'W
SO87	41° 35.524'N  72° 50.513'W
SW86	41° 50.271'N  72° 34.918'W
SP108	41° 36.644'N 72° 2.160'W
SF15	41° 58.196'N  72° 15.357'W
SM62	41° 2.865'N  73° 30.363'W
SM63	41° 05.510'N  73° 31.495'W
SM88	41° 6.372'N  73° 32.440'W
SR109	41° 42.957'N   71° 50.102'W
S1	41° 20.304'N  71° 52.706'W
S2	41° 21.909'N  71° 51.062'W
S94	41° 22.419'N  71° 56.950'W
ST64	41° 10.526'N  73° 7.732'W
ST65	41° 14.834'N  73° 8.383'W
TO110	41° 58.221'N   71° 48.132'W
T16	41° 49.486'N  72° 24.673'W
TR66	41° 17.726'N  73° 12.338'W
V9	41° 35.682'N  71° 52.134'W
WG89	41° 26.442'N  72° 49.286'W
WB90	41° 32.551'N  73° 00.891'W
WF20	41° 19.908'N  72° 6.534'W
WR91	41° 45.479'N  72° 45.854'W
WH104	41° 17.211'N  72° 56.759'W
WK92	41° 17.475'N  72° 27.105'W
WT68	41° 14.256'N  73° 23.906'W
WP69	41° 10.458'N  73° 20.802'W
WP70	41° 06.937'N  73° 20.197'W
WE93	41° 41.550'N  72° 41.687'W
WL14	41° 50.952'N  72° 16.628'W
WN71	41° 13.313'N  73° 25.985'W
WN72	41° 14.367'N  73° 28.433'W
WD12	41° 43.314'N  72° 07.708'W 
WO73	41° 22.162'N  73° 00.140'W
WS111	41° 59.747'N  72° 3.961'W
